epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.419,1.32394,1.76667,1.42112,0.75188,0.68741,0.67243,0.25095,2.15836,1.72587,2.04048,0.00017148,0.00017148,0.00017148
2,60.8428,1.05418,1.2889,1.24473,0.73757,0.84319,0.83752,0.48743,1.46903,1.38444,1.39402,0.000333672,0.000333672,0.000333672
3,95.3761,1.1489,1.36995,1.34797,0.57279,0.38442,0.36563,0.24884,1.16566,1.68935,1.26725,0.000471341,0.000471341,0.000471341
4,130.344,1.31017,1.58466,1.48179,0.55635,0.38601,0.38303,0.25469,1.15391,1.98261,1.20708,0.00058449,0.00058449,0.00058449
5,166.023,1.25946,1.40738,1.3659,0.48739,0.06642,0.08875,0.06742,1.98992,4.15825,1.78523,0.000673116,0.000673116,0.000673116
6,203.76,1.28926,1.82283,1.45691,0.35709,0.04073,0.09937,0.08011,1.80029,3.81575,1.78133,0.000737221,0.000737221,0.000737221
7,241.494,1.27236,1.62817,1.50721,0.72366,0.24771,0.28932,0.20959,1.46873,2.80396,1.46803,0.000776804,0.000776804,0.000776804
8,275.242,1.35051,1.68309,1.55901,0.63295,0.54469,0.58859,0.43496,1.13602,1.82489,1.26054,0.000768802,0.000768802,0.000768802
9,306.08,1.38567,1.65625,1.59885,0.70843,0.8886,0.83468,0.45168,1.65225,1.15227,1.5038,0.000674488,0.000674488,0.000674488
10,335.288,1.31413,1.60437,1.5093,0.7593,0.91902,0.88748,0.50236,1.56362,1.07532,1.4946,0.000580174,0.000580174,0.000580174
11,365.151,1.18848,1.39963,1.43066,0.78716,0.74592,0.76929,0.37754,1.93052,1.13285,1.90515,0.00048586,0.00048586,0.00048586
12,397.437,1.34856,1.52769,1.5766,0.81377,0.80216,0.87021,0.42203,1.83449,1.14184,1.67435,0.000391546,0.000391546,0.000391546
13,424.947,1.26851,1.34795,1.44178,0.8123,0.91604,0.93657,0.47671,1.75319,0.91742,1.56443,0.000297232,0.000297232,0.000297232
14,452.514,1.20352,1.15665,1.45489,0.90963,0.90102,0.94262,0.61647,1.22588,0.76453,1.19614,0.000202918,0.000202918,0.000202918
15,481.133,1.1011,1.20682,1.39829,0.92289,0.91271,0.94676,0.64511,1.14725,0.72743,1.15889,0.000108604,0.000108604,0.000108604
